# DIAM  	 FIN_C[0]  	 FIN_M[0]  	 FIN_C[1]  	 FIN_M[1]  	 FIN_C[2]  	 FIN_M[2]  	 TOT_C  	  TOT_M
# conc0 = 0.63E-15
5.0000e+02;	2.5995e-12;	1.5597e+01	2.7114e-12;	1.6268e+01	1.9964e-14;	2.3956e-01;	5.3309e-12;	3.2105e+01;
1.0000e+03;	3.7366e-12;	2.2420e+01	3.7926e-12;	2.2756e+01	7.0139e-14;	8.4166e-01;	7.5994e-12;	4.6017e+01;
1.5000e+03;	5.9756e-12;	3.5854e+01	5.5669e-12;	3.3402e+01	1.4779e-13;	1.7745e+00;	1.1690e-11;	7.1030e+01;
2.0000e+03;	8.6137e-12;	5.1682e+01	8.5884e-12;	5.1530e+01	2.4336e-13;	2.9252e+00;	1.7445e-11;	1.0614e+02;
2.5000e+03;	1.1183e-11;	6.7097e+01	1.1010e-11;	6.6058e+01	3.6710e-13;	4.4185e+00;	2.2560e-11;	1.3757e+02;
3.0000e+03;	1.4690e-11;	8.8140e+01	1.4085e-11;	8.4507e+01	5.7425e-13;	6.9523e+00;	2.9349e-11;	1.7960e+02;
3.5000e+03;	1.6851e-11;	1.0110e+02	1.6478e-11;	9.8869e+01	8.4899e-13;	1.0318e+01;	3.4178e-11;	2.1029e+02;
4.0000e+03;	1.9134e-11;	1.1480e+02	1.9355e-11;	1.1613e+02	1.3097e-12;	1.6138e+01;	3.9799e-11;	2.4707e+02;
4.5000e+03;	2.0725e-11;	1.2435e+02	2.0544e-11;	1.2326e+02	1.9597e-12;	2.4338e+01;	4.3229e-11;	2.7195e+02;
5.0000e+03;	2.1606e-11;	1.2963e+02	2.1254e-11;	1.2752e+02	2.8000e-12;	3.5468e+01;	4.5659e-11;	2.9262e+02;
