# DIAM  	 FIN_C[0]  	 FIN_M[0]  	 FIN_C[1]  	 FIN_M[1]  	 FIN_C[2]  	 FIN_M[2]  	 TOT_C  	  TOT_M
# conc0 = 1.26 E-15
2.0000e+02;	8.5037e-12;	5.1022e+01	7.8036e-12;	4.6821e+01	2.0813e-14;	2.4975e-01;	1.6328e-11;	9.8093e+01;
4.0000e+02;	9.8879e-12;	5.9327e+01	9.7994e-12;	5.8796e+01	7.6933e-14;	9.2319e-01;	1.9764e-11;	1.1905e+02;
6.0000e+02;	1.2157e-11;	7.2940e+01	1.1534e-11;	6.9202e+01	1.8737e-13;	2.2485e+00;	2.3878e-11;	1.4439e+02;
8.0000e+02;	1.6076e-11;	9.6454e+01	1.5229e-11;	9.1374e+01	3.1738e-13;	3.8092e+00;	3.1622e-11;	1.9164e+02;
1.0000e+03;	1.9670e-11;	1.1802e+02	2.0533e-11;	1.2320e+02	4.9305e-13;	5.9179e+00;	4.0695e-11;	2.4713e+02;
1.2000e+03;	2.6065e-11;	1.5639e+02	2.3978e-11;	1.4387e+02	6.4809e-13;	7.7869e+00;	5.0691e-11;	3.0804e+02;
1.4000e+03;	2.8715e-11;	1.7229e+02	2.8966e-11;	1.7380e+02	8.8761e-13;	1.0662e+01;	5.8569e-11;	3.5675e+02;
1.6000e+03;	3.6021e-11;	2.1613e+02	3.5116e-11;	2.1070e+02	1.1166e-12;	1.3449e+01;	7.2254e-11;	4.4027e+02;
1.8000e+03;	4.1313e-11;	2.4788e+02	4.2619e-11;	2.5571e+02	1.3985e-12;	1.6866e+01;	8.5331e-11;	5.2046e+02;
2.0000e+03;	4.7716e-11;	2.8629e+02	4.7752e-11;	2.8651e+02	1.7974e-12;	2.1797e+01;	9.7265e-11;	5.9460e+02;
2.2000e+03;	5.3113e-11;	3.1868e+02	5.4253e-11;	3.2552e+02	2.2323e-12;	2.7049e+01;	1.0960e-10;	6.7125e+02;
2.4000e+03;	5.8495e-11;	3.5097e+02	5.8236e-11;	3.4942e+02	2.7950e-12;	3.4004e+01;	1.1953e-10;	7.3439e+02;
2.6000e+03;	6.3169e-11;	3.7901e+02	6.3323e-11;	3.7994e+02	3.6145e-12;	4.4225e+01;	1.3011e-10;	8.0318e+02;
2.8000e+03;	6.8205e-11;	4.0923e+02	6.9042e-11;	4.1425e+02	4.7374e-12;	5.8202e+01;	1.4198e-10;	8.8168e+02;
3.0000e+03;	7.1387e-11;	4.2832e+02	7.1132e-11;	4.2679e+02	5.5665e-12;	6.8711e+01;	1.4809e-10;	9.2382e+02;
#3.0000e+03;	7.1145e-11;	4.2687e+02	7.0972e-11;	4.2583e+02	5.6944e-12;	7.0411e+01;	1.4781e-10;	9.2312e+02;
3.3000e+03;	7.4816e-11;	4.4890e+02	7.5408e-11;	4.5245e+02	8.0025e-12;	1.0012e+02;	1.5823e-10;	1.0015e+03;
3.6000e+03;	7.7201e-11;	4.6321e+02	7.8721e-11;	4.7232e+02	1.0962e-11;	1.3954e+02;	1.6688e-10;	1.0751e+03;
3.9000e+03;	7.7577e-11;	4.6546e+02	7.8582e-11;	4.7149e+02	1.4303e-11;	1.8648e+02;	1.7046e-10;	1.1234e+03;
4.2000e+03;	7.5986e-11;	4.5592e+02	7.6653e-11;	4.5992e+02	1.8849e-11;	2.5232e+02;	1.7149e-10;	1.1682e+03;
4.5000e+03;	7.2504e-11;	4.3503e+02	7.2655e-11;	4.3593e+02	2.3079e-11;	3.1824e+02;	1.6824e-10;	1.1892e+03;
4.8000e+03;	6.8201e-11;	4.0921e+02	6.8250e-11;	4.0950e+02	2.8010e-11;	4.0597e+02;	1.6446e-10;	1.2247e+03;
5.1000e+03;	6.1554e-11;	3.6933e+02	6.1240e-11;	3.6744e+02	3.2722e-11;	4.9923e+02;	1.5552e-10;	1.2360e+03;
5.4000e+03;	5.6114e-11;	3.3668e+02	5.5842e-11;	3.3505e+02	3.6445e-11;	5.8279e+02;	1.4840e-10;	1.2545e+03;
5.7000e+03;	4.9536e-11;	2.9722e+02	4.9607e-11;	2.9764e+02	3.9200e-11;	6.6137e+02;	1.3834e-10;	1.2562e+03;
6.0000e+03;	4.3523e-11;	2.6114e+02;	4.2771e-11;	2.5663e+02;	4.1650e-11;	7.5359e+02;	1.2794e-10;	1.2714e+03;
6.5000e+03;	3.2771e-11;	1.9663e+02;	3.2684e-11;	1.9610e+02;	4.3084e-11;	9.0891e+02;	1.0854e-10;	1.3016e+03;
7.0000e+03;	2.5628e-11;	1.5377e+02;	2.5289e-11;	1.5173e+02;	4.2252e-11;	9.9045e+02;	9.3168e-11;	1.2960e+03;
