# DIAM  	 FIN_C[0]  	 FIN_M[0]  	 FIN_C[1]  	 FIN_M[1]  	 FIN_C[2]  	 FIN_M[2]  	 TOT_C  	  TOT_M
#conc0 = 0.63E-15
2.0000e+02;	6.7012e-12;	4.0207e+01	6.8412e-12;	4.1047e+01	9.8337e-15;	1.1800e-01;	1.3552e-11;	8.1372e+01;
7.0000e+02;	9.3182e-12;	5.5909e+01	9.7396e-12;	5.8438e+01	1.1518e-13;	1.3821e+00;	1.9173e-11;	1.1573e+02;
1.2000e+03;	1.5093e-11;	9.0560e+01	1.5010e-11;	9.0063e+01	3.2205e-13;	3.8654e+00;	3.0426e-11;	1.8449e+02;
1.7000e+03;	2.1241e-11;	1.2744e+02	2.1578e-11;	1.2947e+02	5.9958e-13;	7.2037e+00;	4.3419e-11;	2.6412e+02;
2.2000e+03;	3.0407e-11;	1.8244e+02	2.9924e-11;	1.7954e+02	9.3531e-13;	1.1255e+01;	6.1266e-11;	3.7324e+02;
2.7000e+03;	3.9984e-11;	2.3990e+02	3.9958e-11;	2.3975e+02	1.4247e-12;	1.7210e+01;	8.1366e-11;	4.9686e+02;
3.2000e+03;	4.9011e-11;	2.9407e+02	4.8778e-11;	2.9267e+02	2.1345e-12;	2.5925e+01;	9.9924e-11;	6.1266e+02;
3.7000e+03;	5.7690e-11;	3.4614e+02	5.6291e-11;	3.3775e+02	3.3253e-12;	4.0654e+01;	1.1731e-10;	7.2454e+02;
4.2000e+03;	6.2974e-11;	3.7784e+02	6.3120e-11;	3.7872e+02	4.8692e-12;	6.0019e+01;	1.3096e-10;	8.1658e+02;
4.7000e+03;	6.8377e-11;	4.1026e+02	6.7735e-11;	4.0641e+02	7.3445e-12;	9.2018e+01;	1.4346e-10;	9.0869e+02;
5.2000e+03;	6.9182e-11;	4.1509e+02	6.9467e-11;	4.1680e+02	1.0409e-11;	1.3297e+02;	1.4906e-10;	9.6486e+02;
5.7000e+03;	6.8688e-11;	4.1213e+02	6.8623e-11;	4.1174e+02	1.4362e-11;	1.8797e+02;	1.5167e-10;	1.0118e+03;
6.2000e+03;	6.5658e-11;	3.9395e+02	6.6048e-11;	3.9629e+02	1.9140e-11;	2.5996e+02;	1.5085e-10;	1.0502e+03;
6.7000e+03;	6.1095e-11;	3.6657e+02	6.1383e-11;	3.6830e+02	2.4337e-11;	3.4771e+02;	1.4681e-10;	1.0826e+03;
7.2000e+03;	5.5169e-11;	3.3101e+02	5.5159e-11;	3.3096e+02	2.8760e-11;	4.3606e+02;	1.3909e-10;	1.0980e+03;
